"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Leme";"2018";"241584";"38380";"91983";"71582";"7591";"32048";3526704
"Leme";"2019";"253243";"40171";"98844";"73858";"7759";"32611";3526704
"Lençóis Paulista";"2015";"204001";"23973";"100967";"53010";"4202";"21850";3526803
"Lençóis Paulista";"2016";"202043";"21657";"103039";"53249";"4099";"19998";3526803
"Lençóis Paulista";"2017";"184837";"21410";"82444";"53933";"4534";"22515";3526803
"Lençóis Paulista";"2018";"187375";"22453";"81962";"55245";"5080";"22635";3526803
"Lençóis Paulista";"2019";"197016";"23515";"87450";"58197";"4747";"23107";3526803
"Limeira";"2015";"1331520";"177968";"838103";"232520";"14602";"68327";3526902
"Limeira";"2016";"1338974";"168974";"851303";"232754";"16438";"69506";3526902
"Limeira";"2017";"1407096";"173706";"888091";"243696";"26683";"74921";3526902
"Limeira";"2018";"1418425";"176374";"891621";"248144";"27604";"74682";3526902
"Limeira";"2019";"1455551";"183303";"908333";"258090";"29122";"76703";3526902
"Lindóia";"2015";"27299";"2745";"14914";"5811";"1314";"2515";3527009
"Lindóia";"2016";"26113";"3425";"13211";"5937";"1286";"2254";3527009
"Lindóia";"2017";"27506";"3437";"14127";"6155";"1388";"2399";3527009
"Lindóia";"2018";"29330";"3415";"15973";"6352";"1135";"2454";3527009
"Lindóia";"2019";"31793";"3715";"17965";"6457";"1281";"2375";3527009
"Lins";"2015";"168661";"40140";"33301";"72220";"3465";"19535";3527108
"Lins";"2016";"156254";"37616";"24640";"71465";"3630";"18902";3527108
"Lins";"2017";"170124";"38008";"34970";"73264";"3951";"19931";3527108
"Lins";"2018";"164273";"39108";"26604";"74757";"3986";"19817";3527108
"Lins";"2019";"189595";"41501";"44967";"78654";"4218";"20254";3527108
"Lorena";"2015";"239350";"32459";"113624";"71347";"2951";"18969";3527207
"Lorena";"2016";"232114";"33624";"106302";"70377";"2896";"18914";3527207
"Lorena";"2017";"235653";"32997";"108422";"71404";"2927";"19902";3527207
"Lorena";"2018";"232770";"34385";"104320";"71388";"2956";"19720";3527207
"Lorena";"2019";"246103";"36395";"114934";"72090";"2787";"19896";3527207
"Lourdes";"2015";"3366";"420";"137";"1316";"910";"582";3527256
"Lourdes";"2016";"3311";"416";"181";"1311";"828";"576";3527256
"Lourdes";"2017";"3611";"541";"150";"1378";"916";"626";3527256
"Lourdes";"2018";"3677";"487";"157";"1410";"997";"626";3527256
"Lourdes";"2019";"3769";"541";"111";"1440";"1010";"667";3527256
"Louveira";"2015";"280178";"45557";"178685";"42113";"3645";"10177";3527306
"Louveira";"2016";"273531";"38569";"178859";"41772";"3544";"10787";3527306
"Louveira";"2017";"270896";"38184";"174190";"43226";"3877";"11420";3527306
"Louveira";"2018";"269627";"36564";"173257";"43391";"4581";"11835";3527306
"Louveira";"2019";"282436";"40508";"179765";"44555";"5745";"11864";3527306
"Lucélia";"2015";"31308";"5721";"2892";"13347";"2921";"6428";3527405
"Lucélia";"2016";"30335";"5224";"2468";"13775";"2623";"6245";3527405
"Lucélia";"2017";"31474";"5313";"2861";"14295";"2642";"6363";3527405
"Lucélia";"2018";"31762";"5406";"2903";"14744";"2599";"6110";3527405
"Lucélia";"2019";"32924";"5429";"2955";"15534";"2570";"6436";3527405
"Lucianópolis";"2015";"3559";"399";"120";"1453";"805";"782";3527504
"Lucianópolis";"2016";"3506";"382";"104";"1475";"803";"742";3527504
"Lucianópolis";"2017";"3579";"377";"115";"1524";"823";"740";3527504
"Lucianópolis";"2018";"3682";"387";"125";"1537";"884";"748";3527504
"Lucianópolis";"2019";"3772";"414";"106";"1582";"891";"779";3527504
"Luís Antônio";"2015";"266543";"2080";"247303";"9566";"4084";"3510";3527603
"Luís Antônio";"2016";"266628";"1894";"247135";"9411";"4725";"3463";3527603
"Luís Antônio";"2017";"272383";"1924";"252256";"9709";"4852";"3642";3527603
"Luís Antônio";"2018";"264868";"1888";"244889";"10099";"4216";"3776";3527603
"Luís Antônio";"2019";"265048";"1789";"242661";"10507";"6204";"3888";3527603
"Luiziânia";"2015";"5660";"591";"45";"3345";"630";"1049";3527702
"Luiziânia";"2016";"5541";"563";"38";"3304";"549";"1087";3527702
"Luiziânia";"2017";"5815";"569";"65";"3485";"585";"1111";3527702
"Luiziânia";"2018";"6039";"581";"58";"3578";"672";"1150";3527702
"Luiziânia";"2019";"6516";"630";"55";"3755";"853";"1222";3527702
"Lupércio";"2015";"5842";"587";"1026";"2460";"902";"868";3527801
"Lupércio";"2016";"6027";"564";"1136";"2493";"908";"927";3527801
"Lupércio";"2017";"6269";"537";"1347";"2520";"935";"930";3527801
"Lupércio";"2018";"6651";"539";"1636";"2632";"946";"899";3527801
"Lupércio";"2019";"7042";"556";"1969";"2728";"866";"924";3527801
"Lutécia";"2015";"4481";"324";"520";"1596";"1112";"929";3527900
"Lutécia";"2016";"4490";"356";"463";"1614";"1137";"921";3527900
"Lutécia";"2017";"4590";"358";"457";"1672";"1162";"941";3527900
"Lutécia";"2018";"4859";"370";"514";"1725";"1222";"1027";3527900
"Lutécia";"2019";"4952";"409";"526";"1802";"1211";"1004";3527900
"Macatuba";"2015";"34128";"3992";"12000";"12516";"1093";"4527";3528007
"Macatuba";"2016";"31636";"3633";"10253";"12239";"1171";"4340";3528007
"Macatuba";"2017";"35628";"3677";"14174";"12290";"1199";"4288";3528007
"Macatuba";"2018";"33992";"3804";"11925";"12469";"1237";"4557";3528007
"Macatuba";"2019";"36576";"4003";"13858";"12802";"1171";"4743";3528007
"Macaubal";"2015";"15861";"2442";"1485";"6011";"3645";"2279";3528106
"Macaubal";"2016";"15467";"2232";"1576";"5914";"3523";"2222";3528106
"Macaubal";"2017";"16972";"2350";"1585";"6748";"3981";"2308";3528106
"Macaubal";"2018";"16805";"2207";"1657";"6537";"4225";"2180";3528106
"Macaubal";"2019";"18031";"2152";"2199";"6877";"4668";"2136";3528106
"Macedônia";"2015";"6227";"492";"1148";"2231";"1471";"885";3528205
"Macedônia";"2016";"6191";"482";"993";"2234";"1636";"846";3528205
"Macedônia";"2017";"6377";"512";"887";"2403";"1752";"824";3528205
"Macedônia";"2018";"6603";"522";"872";"2502";"1857";"849";3528205
"Macedônia";"2019";"6834";"565";"847";"2635";"1930";"857";3528205
"Magda";"2015";"5554";"755";"279";"2176";"1463";"881";3528304
"Magda";"2016";"5468";"721";"360";"2138";"1411";"838";3528304
"Magda";"2017";"5840";"796";"321";"2334";"1497";"892";3528304
"Magda";"2018";"6158";"867";"224";"2388";"1776";"903";3528304
"Magda";"2019";"6390";"914";"272";"2474";"1761";"969";3528304
"Mairinque";"2015";"147747";"9524";"85022";"41898";"1578";"9725";3528403
"Mairinque";"2016";"139779";"8896";"78574";"41163";"1668";"9476";3528403
"Mairinque";"2017";"139525";"8787";"77407";"42059";"1718";"9554";3528403
"Mairinque";"2018";"141218";"8397";"78806";"42873";"1621";"9521";3528403
"Mairinque";"2019";"139757";"8052";"77484";"43471";"1552";"9199";3528403
"Mairiporã";"2015";"340509";"30443";"40024";"79823";"1821";"188399";3528502
"Mairiporã";"2016";"422636";"29457";"39813";"79499";"1635";"272232";3528502
"Mairiporã";"2017";"475839";"29667";"40348";"83877";"1620";"320327";3528502
"Mairiporã";"2018";"470204";"30096";"39146";"85502";"1622";"313839";3528502
"Mairiporã";"2019";"472402";"32896";"40800";"87229";"1677";"309800";3528502
"Manduri";"2015";"16047";"2078";"1001";"5455";"5001";"2512";3528601
"Manduri";"2016";"15552";"2167";"949";"5593";"4351";"2492";3528601
"Manduri";"2017";"16141";"2274";"1084";"5775";"4307";"2702";3528601
"Manduri";"2018";"17065";"2197";"1173";"5922";"4763";"3010";3528601
"Manduri";"2019";"17648";"2440";"1181";"6136";"5129";"2761";3528601
"Marabá Paulista";"2015";"5961";"398";"141";"1509";"2504";"1409";3528700
"Marabá Paulista";"2016";"5719";"376";"112";"1474";"2337";"1420";3528700
"Marabá Paulista";"2017";"6000";"405";"118";"1585";"2394";"1498";3528700
"Marabá Paulista";"2018";"5986";"427";"132";"1609";"2376";"1442";3528700
"Marabá Paulista";"2019";"6220";"459";"160";"1657";"2499";"1445";3528700
"Maracaí";"2015";"23208";"3795";"3269";"8573";"4871";"2700";3528809
"Maracaí";"2016";"22424";"3623";"2679";"8662";"4651";"2808";3528809
"Maracaí";"2017";"23414";"3645";"3393";"8822";"4700";"2855";3528809
"Maracaí";"2018";"23043";"3635";"2685";"9067";"4842";"2814";3528809
"Maracaí";"2019";"24406";"3969";"2560";"9631";"5235";"3010";3528809
"Marapoama";"2015";"7633";"878";"2006";"2286";"1459";"1004";3528858
"Marapoama";"2016";"8046";"836";"2106";"2381";"1724";"999";3528858
"Marapoama";"2017";"9235";"901";"2454";"2601";"2200";"1079";3528858
"Marapoama";"2018";"9877";"944";"2779";"2761";"2326";"1068";3528858
"Marapoama";"2019";"10261";"879";"2519";"3075";"2695";"1093";3528858
"Mariápolis";"2015";"4083";"431";"79";"2083";"758";"731";3528908
"Mariápolis";"2016";"4012";"395";"60";"2080";"712";"765";3528908
"Mariápolis";"2017";"4314";"440";"51";"2247";"782";"795";3528908
"Mariápolis";"2018";"4449";"461";"45";"2291";"826";"827";3528908
"Mariápolis";"2019";"4707";"477";"49";"2470";"852";"859";3528908
"Marília";"2015";"538788";"128291";"116831";"201839";"7063";"84764";3529005
"Marília";"2016";"530738";"122617";"114617";"201858";"7037";"84609";3529005
"Marília";"2017";"544472";"124395";"116681";"208823";"7207";"87367";3529005
"Marília";"2018";"556225";"126651";"118000";"216221";"7440";"87913";3529005
"Marília";"2019";"577462";"131350";"120524";"227637";"7655";"90298";3529005
"Marinópolis";"2015";"3155";"491";"28";"1328";"904";"404";3529104
"Marinópolis";"2016";"2997";"427";"20";"1293";"875";"382";3529104
"Marinópolis";"2017";"3417";"509";"20";"1368";"1110";"410";3529104
"Marinópolis";"2018";"3641";"499";"28";"1368";"1337";"409";3529104
"Marinópolis";"2019";"3932";"488";"15";"1461";"1537";"431";3529104
"Martinópolis";"2015";"40526";"6562";"4610";"16348";"5535";"7470";3529203
"Martinópolis";"2016";"40046";"6728";"3290";"17160";"5255";"7612";3529203
"Martinópolis";"2017";"39533";"6930";"2301";"17605";"5070";"7627";3529203
"Martinópolis";"2018";"40473";"6808";"2819";"18062";"5271";"7513";3529203
"Martinópolis";"2019";"41965";"7312";"2075";"19086";"5789";"7703";3529203
"Matão";"2015";"361114";"35400";"221972";"67416";"11252";"25074";3529302
"Matão";"2016";"370987";"34233";"228939";"66455";"15391";"25968";3529302
"Matão";"2017";"395573";"35863";"248589";"68051";"16571";"26499";3529302
"Matão";"2018";"393430";"37468";"240415";"69645";"18652";"27250";3529302
"Matão";"2019";"418544";"38189";"260536";"73112";"20002";"26706";3529302
"Mauá";"2015";"1287475";"133736";"791609";"316617";"15";"45498";3529401
"Mauá";"2016";"1341472";"141277";"827760";"320275";"12";"52148";3529401
"Mauá";"2017";"1322690";"148604";"797181";"323342";"27";"53536";3529401
"Mauá";"2018";"1282977";"150596";"759163";"324492";"32";"48695";3529401
"Mauá";"2019";"1209844";"159159";"681094";"324695";"33";"44863";3529401
"Mendonça";"2015";"10844";"1465";"3884";"3507";"335";"1654";3529500
"Mendonça";"2016";"10658";"1551";"2957";"4147";"317";"1687";3529500
"Mendonça";"2017";"11539";"1604";"3505";"4374";"316";"1740";3529500
"Mendonça";"2018";"11539";"1656";"3076";"4659";"311";"1837";3529500
"Mendonça";"2019";"12417";"1874";"3351";"4947";"315";"1930";3529500
"Meridiano";"2015";"10235";"1925";"2932";"2652";"1567";"1158";3529609
"Meridiano";"2016";"8290";"2607";"297";"2613";"1597";"1175";3529609
"Meridiano";"2017";"8673";"2580";"264";"2800";"1826";"1203";3529609
"Meridiano";"2018";"9369";"2859";"247";"3037";"1989";"1236";3529609
"Meridiano";"2019";"9961";"2869";"161";"3170";"2317";"1444";3529609
"Mesópolis";"2015";"2717";"318";"26";"1163";"734";"476";3529658
"Mesópolis";"2016";"2828";"279";"20";"1126";"898";"504";3529658
"Mesópolis";"2017";"3037";"299";"9";"1209";"987";"534";3529658
"Mesópolis";"2018";"3267";"332";"5";"1266";"1103";"562";3529658
"Mesópolis";"2019";"3528";"335";"4";"1316";"1313";"560";3529658
"Miguelópolis";"2015";"43283";"5199";"161";"17814";"15802";"4307";3529708
"Miguelópolis";"2016";"44996";"4915";"153";"17529";"18101";"4298";3529708
"Miguelópolis";"2017";"48528";"5469";"123";"18059";"20595";"4282";3529708
"Miguelópolis";"2018";"46115";"5227";"123";"18206";"18324";"4235";3529708
"Miguelópolis";"2019";"50250";"5472";"185";"18854";"21433";"4306";3529708
"Mineiros do Tietê";"2015";"17999";"2693";"1226";"9394";"1563";"3123";3529807
"Mineiros do Tietê";"2016";"18052";"2526";"1357";"9313";"1605";"3251";3529807
"Mineiros do Tietê";"2017";"18441";"2334";"1634";"9400";"1579";"3494";3529807
"Mineiros do Tietê";"2018";"18054";"2331";"1582";"9479";"1252";"3410";3529807
"Mineiros do Tietê";"2019";"18460";"2407";"1645";"9693";"1285";"3429";3529807
"Mira Estrela";"2015";"6197";"787";"310";"2612";"1627";"861";3530003
"Mira Estrela";"2016";"6528";"799";"288";"2570";"2001";"871";3530003
"Mira Estrela";"2017";"7152";"897";"239";"2823";"2259";"933";3530003
"Mira Estrela";"2018";"7257";"861";"231";"2883";"2363";"918";3530003
"Mira Estrela";"2019";"7693";"935";"226";"3035";"2418";"1079";3530003
"Miracatu";"2015";"26663";"7567";"1167";"11703";"3128";"3099";3529906
"Miracatu";"2016";"25967";"7376";"1104";"11382";"2961";"3144";3529906
"Miracatu";"2017";"27001";"7669";"1151";"11896";"2954";"3330";3529906
"Miracatu";"2018";"28611";"9319";"1208";"11960";"2879";"3245";3529906
"Miracatu";"2019";"30524";"10531";"1383";"12405";"2805";"3400";3529906
"Mirandópolis";"2015";"45032";"8825";"2459";"19371";"5576";"8801";3530102
"Mirandópolis";"2016";"42988";"7982";"2040";"19049";"5541";"8377";3530102
"Mirandópolis";"2017";"46223";"8226";"2498";"20113";"6231";"9155";3530102
"Mirandópolis";"2018";"47604";"8324";"2695";"20706";"6685";"9193";3530102
"Mirandópolis";"2019";"49236";"8706";"2788";"21561";"6733";"9449";3530102
"Mirante do Paranapanema";"2015";"23445";"4502";"1096";"7596";"7727";"2525";3530201
"Mirante do Paranapanema";"2016";"21961";"4854";"116";"7301";"7257";"2434";3530201
"Mirante do Paranapanema";"2017";"22675";"4646";"114";"7727";"7604";"2584";3530201
"Mirante do Paranapanema";"2018";"22653";"4495";"115";"7773";"7749";"2522";3530201
"Mirante do Paranapanema";"2019";"24454";"4553";"133";"8209";"8444";"3116";3530201
"Mirassol";"2015";"141470";"23936";"38870";"58396";"4124";"16143";3530300
"Mirassol";"2016";"138491";"23082";"37119";"57365";"4678";"16247";3530300
"Mirassol";"2017";"144854";"24477";"38756";"59932";"4797";"16892";3530300
"Mirassol";"2018";"150537";"25461";"40924";"62366";"4740";"17047";3530300
"Mirassol";"2019";"157849";"26062";"43743";"65559";"4614";"17870";3530300
"Mirassolândia";"2015";"10438";"589";"3050";"3549";"2086";"1164";3530409
"Mirassolândia";"2016";"11365";"599";"3936";"3288";"2435";"1107";3530409
"Mirassolândia";"2017";"12747";"594";"4137";"3469";"3372";"1175";3530409
"Mirassolândia";"2018";"13726";"689";"4201";"3671";"3963";"1202";3530409
"Mirassolândia";"2019";"15075";"669";"4608";"3766";"4772";"1260";3530409
"Mococa";"2015";"164494";"25637";"43357";"53133";"28148";"14219";3530508
"Mococa";"2016";"165263";"24089";"45103";"53320";"28465";"14287";3530508
"Mococa";"2017";"169702";"23423";"48094";"54572";"28860";"14753";3530508
"Mococa";"2018";"169495";"23260";"46342";"55974";"28762";"15157";3530508
"Mococa";"2019";"176151";"24501";"48115";"57776";"29883";"15877";3530508
"Mogi das Cruzes";"2015";"1331667";"202991";"669645";"310257";"16807";"131968";3530607
"Mogi das Cruzes";"2016";"1241855";"198457";"578434";"315812";"16254";"132898";3530607
"Mogi das Cruzes";"2017";"1258587";"196659";"587726";"322842";"16587";"134774";3530607
"Mogi das Cruzes";"2018";"1382785";"199427";"704412";"332557";"15967";"130422";3530607
"Mogi das Cruzes";"2019";"1316460";"209912";"615622";"341334";"17079";"132513";3530607
"Mogi Guaçu";"2015";"713940";"75987";"474791";"103230";"22496";"37436";3530706
"Mogi Guaçu";"2016";"708200";"73339";"459510";"106304";"30107";"38940";3530706
"Mogi Guaçu";"2017";"740370";"82182";"469600";"112880";"35145";"40564";3530706
"Mogi Guaçu";"2018";"738686";"75688";"473053";"115187";"35754";"39005";3530706
"Mogi Guaçu";"2019";"726613";"82904";"457651";"112696";"34652";"38710";3530706
"Mogi Mirim";"2015";"432705";"124297";"185639";"70517";"28811";"23442";3530805
"Mogi Mirim";"2016";"420909";"120618";"169625";"70107";"37212";"23346";3530805
"Mogi Mirim";"2017";"437413";"118738";"178501";"73617";"40514";"26042";3530805
"Mogi Mirim";"2018";"452366";"119719";"191756";"74642";"40501";"25748";3530805
"Mogi Mirim";"2019";"442293";"120921";"185630";"75685";"33797";"26260";3530805
"Mombuca";"2015";"10887";"2043";"4530";"2285";"1084";"946";3530904
"Mombuca";"2016";"10808";"2605";"3807";"2341";"945";"1110";3530904
"Mombuca";"2017";"10896";"2698";"3676";"2378";"1051";"1093";3530904
"Mombuca";"2018";"11744";"2728";"4265";"2535";"1092";"1125";3530904
"Mombuca";"2019";"12366";"2707";"4623";"2631";"1232";"1173";3530904
"Mongaguá";"2015";"98991";"22297";"2106";"58998";"198";"15392";3531100
"Mongaguá";"2016";"95344";"20547";"1659";"57477";"182";"15479";3531100
"Mongaguá";"2017";"105509";"21400";"1614";"66201";"178";"16114";3531100
"Mongaguá";"2018";"107155";"21455";"1980";"67659";"184";"15877";3531100
"Mongaguá";"2019";"111851";"23777";"1979";"69043";"201";"16850";3531100
"Monte Alegre do Sul";"2015";"14761";"2224";"1035";"5571";"4336";"1595";3531209
"Monte Alegre do Sul";"2016";"14890";"2606";"920";"5530";"4284";"1550";3531209
"Monte Alegre do Sul";"2017";"15455";"2683";"959";"5797";"4458";"1556";3531209
"Monte Alegre do Sul";"2018";"16695";"2642";"1556";"5941";"4883";"1672";3531209
"Monte Alegre do Sul";"2019";"16762";"2697";"1365";"6106";"4830";"1763";3531209
"Monte Alto";"2015";"180512";"17063";"94156";"42185";"12967";"14142";3531308
"Monte Alto";"2016";"157947";"15745";"72920";"41604";"13030";"14648";3531308
"Monte Alto";"2017";"169072";"15493";"81127";"42648";"14541";"15262";3531308
"Monte Alto";"2018";"181500";"15428";"91331";"43955";"15836";"14950";3531308
"Monte Alto";"2019";"184658";"15633";"91305";"45690";"16364";"15666";3531308
"Monte Aprazível";"2015";"38957";"6127";"5497";"19281";"2675";"5378";3531407
"Monte Aprazível";"2016";"38175";"5842";"5858";"18755";"2525";"5195";3531407
"Monte Aprazível";"2017";"39890";"5791";"6802";"19443";"2674";"5179";3531407
"Monte Aprazível";"2018";"40536";"5728";"6952";"20001";"2639";"5215";3531407
"Monte Aprazível";"2019";"40771";"6045";"6109";"20595";"2662";"5361";3531407
"Monte Azul Paulista";"2015";"35487";"7097";"1663";"15845";"6138";"4745";3531506
"Monte Azul Paulista";"2016";"35219";"6585";"1733";"14941";"7159";"4800";3531506
"Monte Azul Paulista";"2017";"36764";"6788";"2018";"15231";"7733";"4994";3531506
"Monte Azul Paulista";"2018";"38892";"7048";"1578";"15568";"9357";"5341";3531506
"Monte Azul Paulista";"2019";"40472";"7052";"1378";"16744";"9759";"5539";3531506
"Monte Castelo";"2015";"5895";"422";"962";"2541";"1165";"806";3531605
"Monte Castelo";"2016";"5994";"399";"1050";"2576";"1170";"799";3531605
"Monte Castelo";"2017";"6619";"443";"1236";"2838";"1264";"838";3531605
"Monte Castelo";"2018";"6591";"474";"995";"2996";"1297";"830";3531605
"Monte Castelo";"2019";"6859";"487";"1017";"3148";"1320";"888";3531605
"Monte Mor";"2015";"160621";"14323";"84364";"46064";"5508";"10362";3531803
"Monte Mor";"2016";"156834";"13185";"79909";"46531";"5860";"11348";3531803
"Monte Mor";"2017";"164706";"13735";"83892";"48531";"6369";"12180";3531803
"Monte Mor";"2018";"171109";"14455";"87239";"50302";"6747";"12366";3531803
"Monte Mor";"2019";"174788";"15106";"86835";"52866";"7441";"12539";3531803
"Monteiro Lobato";"2015";"5943";"895";"435";"2977";"933";"703";3531704
"Monteiro Lobato";"2016";"5993";"897";"515";"2998";"876";"708";3531704
"Monteiro Lobato";"2017";"6043";"855";"506";"3068";"904";"710";3531704
"Monteiro Lobato";"2018";"80202";"1590";"73988";"3063";"854";"707";3531704
"Monteiro Lobato";"2019";"6003";"810";"549";"3173";"823";"649";3531704
"Monções";"2015";"5462";"438";"2004";"1543";"715";"763";3531001
"Monções";"2016";"5384";"543";"1781";"1574";"685";"801";3531001
"Monções";"2017";"5573";"593";"1893";"1651";"676";"761";3531001
"Monções";"2018";"5595";"598";"1825";"1691";"701";"779";3531001
"Monções";"2019";"6242";"617";"2310";"1743";"746";"826";3531001
"Morro Agudo";"2015";"47862";"7456";"4377";"22778";"5725";"7526";3531902
"Morro Agudo";"2016";"46446";"6771";"3384";"22102";"6013";"8176";3531902
"Morro Agudo";"2017";"48494";"6951";"3472";"23110";"6402";"8559";3531902
"Morro Agudo";"2018";"50271";"6933";"4175";"24023";"6658";"8482";3531902
"Morro Agudo";"2019";"52727";"7099";"4966";"25163";"6764";"8734";3531902
"Morungaba";"2015";"75995";"2804";"57290";"9614";"3521";"2766";3532009
"Morungaba";"2016";"79939";"2694";"61488";"9674";"3598";"2485";3532009
"Morungaba";"2017";"89080";"2617";"70042";"9946";"3896";"2579";3532009
"Morungaba";"2018";"90537";"2684";"70871";"10130";"4034";"2818";3532009
"Morungaba";"2019";"90745";"2814";"70768";"10305";"3900";"2958";3532009
"Motuca";"2015";"6141";"604";"504";"2644";"1091";"1299";3532058
"Motuca";"2016";"6172";"556";"579";"2624";"1132";"1281";3532058
"Motuca";"2017";"6400";"587";"560";"2673";"1255";"1323";3532058
"Motuca";"2018";"6401";"582";"535";"2717";"1232";"1335";3532058
"Motuca";"2019";"6667";"603";"647";"2808";"1211";"1398";3532058
"Murutinga do Sul";"2015";"5895";"510";"47";"2756";"1745";"838";3532108
"Murutinga do Sul";"2016";"5820";"510";"40";"2723";"1728";"820";3532108
"Murutinga do Sul";"2017";"6142";"574";"43";"2882";"1817";"827";3532108
"Murutinga do Sul";"2018";"6347";"614";"33";"2985";"1905";"810";3532108
"Murutinga do Sul";"2019";"6514";"641";"38";"3086";"1907";"841";3532108
"Nantes";"2015";"4641";"1547";"41";"1726";"559";"767";3532157
"Nantes";"2016";"4243";"1011";"17";"1819";"513";"883";3532157
"Nantes";"2017";"4563";"1127";"18";"1902";"595";"921";3532157
"Nantes";"2018";"4650";"1172";"18";"1933";"601";"926";3532157
"Nantes";"2019";"4910";"1235";"18";"2060";"637";"960";3532157
"Narandiba";"2015";"11107";"3735";"2767";"2583";"1131";"890";3532207
"Narandiba";"2016";"12019";"5151";"2365";"2548";"1032";"923";3532207
"Narandiba";"2017";"11257";"4321";"1999";"2782";"1034";"1121";3532207
"Narandiba";"2018";"10743";"4062";"1568";"2827";"1032";"1254";3532207
"Narandiba";"2019";"10351";"3509";"1116";"3258";"1083";"1386";3532207
"Natividade da Serra";"2015";"8018";"1088";"75";"3927";"1882";"1046";3532306
"Natividade da Serra";"2016";"7987";"998";"58";"3999";"1912";"1020";3532306
"Natividade da Serra";"2017";"8608";"1042";"57";"4437";"1960";"1113";3532306
"Natividade da Serra";"2018";"8798";"1027";"60";"4641";"1943";"1127";3532306
"Natividade da Serra";"2019";"9086";"1035";"60";"4814";"1977";"1200";3532306
"Nazaré Paulista";"2015";"32242";"5393";"7577";"14079";"3132";"2061";3532405
"Nazaré Paulista";"2016";"32597";"5786";"7458";"14117";"3137";"2100";3532405
"Nazaré Paulista";"2017";"36569";"7727";"8007";"15515";"3122";"2197";3532405
"Nazaré Paulista";"2018";"34875";"5539";"8274";"15933";"3029";"2100";3532405
"Nazaré Paulista";"2019";"36017";"5793";"8374";"16475";"3044";"2331";3532405
"Neves Paulista";"2015";"17460";"2021";"2610";"7903";"2410";"2516";3532504
"Neves Paulista";"2016";"17332";"2496";"2393";"7671";"2219";"2553";3532504
"Neves Paulista";"2017";"18485";"3063";"2558";"8008";"2287";"2569";3532504
"Neves Paulista";"2018";"19459";"3694";"2572";"8296";"2430";"2467";3532504
"Neves Paulista";"2019";"21515";"4303";"3066";"8858";"2771";"2517";3532504
"Nhandeara";"2015";"19224";"4041";"1518";"7585";"3649";"2431";3532603
"Nhandeara";"2016";"18831";"3854";"1404";"7529";"3627";"2416";3532603
"Nhandeara";"2017";"19717";"3993";"1533";"7913";"3657";"2622";3532603
"Nhandeara";"2018";"20053";"4075";"1428";"8111";"3792";"2647";3532603
"Nhandeara";"2019";"20951";"4357";"1386";"8479";"3999";"2730";3532603
"Nipoã";"2015";"8364";"863";"2050";"3077";"1448";"926";3532702
"Nipoã";"2016";"8066";"852";"1756";"2989";"1530";"939";3532702
"Nipoã";"2017";"9199";"935";"1905";"3290";"2063";"1006";3532702
"Nipoã";"2018";"9396";"895";"1973";"3372";"2147";"1008";3532702
"Nipoã";"2019";"9315";"972";"1782";"3446";"2089";"1027";3532702
"Nova Aliança";"2015";"10035";"2099";"940";"4321";"580";"2095";3532801
"Nova Aliança";"2016";"9908";"2188";"485";"4540";"654";"2041";3532801
"Nova Aliança";"2017";"10686";"2362";"400";"4731";"1040";"2153";3532801
"Nova Aliança";"2018";"11530";"2739";"451";"4943";"1183";"2215";3532801
"Nova Aliança";"2019";"11684";"2343";"518";"5268";"1285";"2270";3532801
"Nova Campina";"2015";"16905";"852";"10615";"3473";"544";"1420";3532827
"Nova Campina";"2016";"17795";"876";"11510";"3445";"527";"1437";3532827
"Nova Campina";"2017";"18529";"1113";"11651";"3762";"550";"1453";3532827
"Nova Campina";"2018";"24019";"992";"17334";"3815";"546";"1332";3532827
"Nova Campina";"2019";"33019";"1047";"26111";"3895";"500";"1466";3532827
"Nova Canaã Paulista";"2015";"3005";"310";"33";"971";"1214";"476";3532843
"Nova Canaã Paulista";"2016";"2954";"287";"29";"958";"1213";"468";3532843
"Nova Canaã Paulista";"2017";"3268";"302";"29";"1086";"1326";"525";3532843
"Nova Canaã Paulista";"2018";"3491";"303";"29";"1133";"1497";"528";3532843
"Nova Canaã Paulista";"2019";"3708";"308";"32";"1232";"1572";"564";3532843
"Nova Castilho";"2015";"2426";"218";"35";"629";"1081";"464";3532868
"Nova Castilho";"2016";"2387";"217";"26";"644";"1080";"420";3532868
"Nova Castilho";"2017";"2620";"221";"27";"692";"1230";"449";3532868
"Nova Castilho";"2018";"3025";"236";"33";"719";"1579";"459";3532868
"Nova Castilho";"2019";"2759";"246";"33";"745";"1257";"478";3532868
"Nova Europa";"2015";"12382";"1534";"996";"6661";"991";"2200";3532900
"Nova Europa";"2016";"12088";"1477";"668";"6800";"899";"2245";3532900
"Nova Europa";"2017";"12815";"1453";"1086";"6912";"1069";"2295";3532900
"Nova Europa";"2018";"12777";"1413";"979";"7019";"1088";"2278";3532900
"Nova Europa";"2019";"12771";"1406";"710";"7322";"1004";"2328";3532900
"Nova Granada";"2015";"37699";"4920";"1545";"14192";"12969";"4073";3533007
