"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Analândia";"2016";"9650";"850";"1950";"3635";"1607";"1609";3502002
"Analândia";"2017";"10020";"856";"2037";"3840";"1669";"1618";3502002
"Analândia";"2018";"10482";"836";"2504";"3912";"1611";"1619";3502002
"Analândia";"2019";"10490";"821";"2378";"4119";"1545";"1626";3502002
"Andradina";"2015";"197386";"30541";"96479";"49302";"6837";"14226";3502101
"Andradina";"2016";"191126";"27636";"93789";"48690";"6697";"14313";3502101
"Andradina";"2017";"190236";"30435";"85808";"51845";"6903";"15245";3502101
"Andradina";"2018";"204817";"30294";"98751";"53940";"6894";"14937";3502101
"Andradina";"2019";"207381";"31783";"95649";"57218";"7669";"15062";3502101
"Angatuba";"2015";"142749";"34346";"75204";"12083";"17002";"4114";3502200
"Angatuba";"2016";"150948";"33415";"82778";"12109";"18584";"4062";3502200
"Angatuba";"2017";"159343";"37740";"85172";"12957";"19374";"4099";3502200
"Angatuba";"2018";"164594";"39450";"86762";"13133";"20915";"4334";3502200
"Angatuba";"2019";"160577";"29872";"89094";"13552";"23436";"4623";3502200
"Anhembi";"2015";"9819";"916";"1117";"3822";"2380";"1584";3502309
"Anhembi";"2016";"10124";"1091";"1310";"3651";"2521";"1552";3502309
"Anhembi";"2017";"10784";"1104";"1411";"3945";"2741";"1583";3502309
"Anhembi";"2018";"11323";"1042";"1693";"4164";"2730";"1693";3502309
"Anhembi";"2019";"12187";"1235";"1782";"4436";"2865";"1868";3502309
"Anhumas";"2015";"4995";"551";"103";"2290";"1270";"780";3502408
"Anhumas";"2016";"5023";"485";"115";"2278";"1359";"786";3502408
"Anhumas";"2017";"5177";"511";"72";"2559";"1223";"813";3502408
"Anhumas";"2018";"5510";"536";"87";"2705";"1303";"879";3502408
"Anhumas";"2019";"5762";"564";"98";"2873";"1270";"957";3502408
"Aparecida";"2015";"87215";"38891";"23115";"16527";"457";"8226";3502507
"Aparecida";"2016";"104365";"43210";"23584";"27898";"567";"9106";3502507
"Aparecida";"2017";"92247";"46513";"4279";"30833";"655";"9967";3502507
"Aparecida";"2018";"92094";"46680";"4141";"31234";"667";"9372";3502507
"Aparecida";"2019";"93690";"48196";"3880";"31795";"667";"9151";3502507
"Aparecida d'Oeste";"2015";"7852";"852";"1267";"2959";"1762";"1013";3502606
"Aparecida d'Oeste";"2016";"7527";"827";"1202";"2923";"1561";"1014";3502606
"Aparecida d'Oeste";"2017";"8346";"875";"1597";"3114";"1700";"1060";3502606
"Aparecida d'Oeste";"2018";"9411";"846";"2342";"3218";"1919";"1087";3502606
"Aparecida d'Oeste";"2019";"9864";"825";"2436";"3382";"2067";"1154";3502606
"Apiaí";"2015";"189554";"4323";"168776";"11437";"1576";"3442";3502705
"Apiaí";"2016";"162476";"4143";"141427";"11723";"1570";"3612";3502705
"Apiaí";"2017";"151131";"4347";"129149";"12269";"1450";"3917";3502705
"Apiaí";"2018";"153274";"4355";"131361";"12245";"1330";"3984";3502705
"Apiaí";"2019";"158642";"4533";"135858";"12566";"1575";"4109";3502705
"Aramina";"2015";"8992";"1333";"300";"4502";"835";"2022";3503000
"Aramina";"2016";"8729";"1193";"182";"4491";"816";"2046";3503000
"Aramina";"2017";"9493";"1556";"206";"4736";"828";"2167";3503000
"Aramina";"2018";"9570";"1288";"206";"4955";"844";"2277";3503000
"Aramina";"2019";"9737";"1269";"219";"5149";"853";"2246";3503000
"Arandu";"2015";"8949";"936";"150";"3460";"2328";"2075";3503109
"Arandu";"2016";"8728";"844";"169";"3552";"2062";"2102";3503109
"Arandu";"2017";"9133";"664";"88";"3709";"2637";"2035";3503109
"Arandu";"2018";"9559";"746";"58";"3844";"2867";"2045";3503109
"Arandu";"2019";"9860";"798";"57";"3944";"3109";"1951";3503109
"Arapeí";"2015";"2435";"280";"19";"1322";"464";"350";3503158
"Arapeí";"2016";"2541";"425";"21";"1331";"416";"348";3503158
"Arapeí";"2017";"2631";"359";"20";"1456";"413";"383";3503158
"Arapeí";"2018";"2675";"391";"21";"1458";"434";"372";3503158
"Arapeí";"2019";"2728";"413";"20";"1472";"440";"382";3503158
"Araraquara";"2015";"694031";"145532";"217884";"222889";"5788";"101938";3503208
"Araraquara";"2016";"695015";"141324";"227336";"220525";"5479";"100351";3503208
"Araraquara";"2017";"701773";"139925";"232197";"225691";"6203";"97756";3503208
"Araraquara";"2018";"705456";"139217";"227451";"231166";"6355";"101269";3503208
"Araraquara";"2019";"735966";"147612";"236777";"244095";"6245";"101237";3503208
"Araras";"2015";"442644";"69450";"226014";"97034";"14711";"35435";3503307
"Araras";"2016";"458513";"67423";"243324";"99520";"14402";"33843";3503307
"Araras";"2017";"474215";"71899";"245954";"105125";"15008";"36228";3503307
"Araras";"2018";"485279";"76515";"251799";"107272";"15141";"34552";3503307
"Araras";"2019";"486813";"81260";"242758";"111533";"15596";"35667";3503307
"Araçariguama";"2015";"488728";"12364";"455304";"16659";"246";"4155";3502754
"Araçariguama";"2016";"408998";"15222";"373126";"16154";"203";"4293";3502754
"Araçariguama";"2017";"452305";"15667";"415339";"16518";"189";"4593";3502754
"Araçariguama";"2018";"461089";"15812";"423321";"16878";"187";"4890";3502754
"Araçariguama";"2019";"424081";"15776";"385311";"17865";"195";"4935";3502754
"Araçatuba";"2015";"518390";"130603";"101995";"221963";"8470";"55360";3502804
"Araçatuba";"2016";"504783";"123916";"101127";"217221";"8173";"54347";3502804
"Araçatuba";"2017";"518693";"126693";"103467";"226070";"8242";"54220";3502804
"Araçatuba";"2018";"532357";"128469";"101383";"237013";"8971";"56521";3502804
"Araçatuba";"2019";"557294";"132088";"102396";"253965";"9301";"59544";3502804
"Araçoiaba da Serra";"2015";"66727";"8974";"3193";"41185";"4915";"8460";3502903
"Araçoiaba da Serra";"2016";"66510";"8937";"3139";"40872";"4819";"8743";3502903
"Araçoiaba da Serra";"2017";"69933";"9349";"4797";"41893";"4906";"8988";3502903
"Araçoiaba da Serra";"2018";"70572";"9210";"4656";"42326";"5168";"9213";3502903
"Araçoiaba da Serra";"2019";"74530";"9756";"5598";"44281";"5518";"9378";3502903
"Arco-Íris";"2015";"2842";"119";"780";"767";"697";"479";3503356
"Arco-Íris";"2016";"3028";"124";"523";"770";"1119";"492";3503356
"Arco-Íris";"2017";"3589";"130";"580";"824";"1485";"570";3503356
"Arco-Íris";"2018";"3818";"156";"715";"876";"1526";"545";3503356
"Arco-Íris";"2019";"3571";"167";"549";"939";"1395";"521";3503356
"Arealva";"2015";"19349";"1777";"2686";"7293";"5596";"1996";3503406
"Arealva";"2016";"17371";"1782";"657";"7277";"5624";"2031";3503406
"Arealva";"2017";"18207";"1697";"728";"7541";"6119";"2121";3503406
"Arealva";"2018";"20748";"1729";"2517";"7675";"6686";"2141";3503406
